id	SvenTop20R1	SvenTop20R2	SvenTop20R3	AntoniaTop30R1	AntoniaTop30R2	AntoniaTop30R3
120426126080	0	0	0	0	0	0
120426126081	0	0	0	0	0	0
120426126082	0	0	0	0	0	0
120426126183	0	0	0	0	0	0
120426126084	0	0	0	0	0	0
120426126085	0	0	0	0	0	0
120426126186	0	0	0	0	0	0
120426126187	0	0	0	0	0	0
120426126088	0	0	0	0	0	0
120426126089	0	0	0	0	0	0
120426126090	0	0	0	0	0	0
120426137191	0	0	0	0	0	0
120426137092	0	0	0	0	0	0
120426137093	0	0	0	0	0	0
120426137194	0	0	0	0	0	0
120426137095	0	0	0	0	0	0
120426137096	0	0	0	0	0	0
120426137097	0	0	0	0	0	0
120426137098	0	0	0	0	0	0
120426137099	0	0	0	0	0	0
1204261370100	0	0	0	0	0	0
1204261370101	0	0	0	0	0	0
1204261370102	0	0	0	0	0	0
1204261370103	0	0	0	0	0	0
1204261370104	0	0	0	0	0	0
1204261371105	0	0	0	0	0	0
1204261380106	0	0	0	0	0	0
1204261380107	0	0	0	0	0	0
1204261380108	0	0	0	0	0	0
1204261380109	0	0	0	0	0	0
1204261380110	0	0	0	0	0	0
1204261380111	0	0	0	0	0	0
1204261380112	0	0	0	0	0	0
1204261380113	0	0	0	0	0	0
1204261380114	0	0	0	0	0	0
1204261380115	0	0	0	0	0	0
1204261381116	0	0	0	0	0	0
1204261380117	0	0	0	0	0	0
1204261381118	0	0	0	0	0	0
1204261381119	0	0	0	0	0	0
1204261380120	0	0	0	0	0	0
1204271190121	0	0	0	0	0	0
1204271191122	0	0	0	0	0	0
1204271190123	0	0	0	0	0	0
1204271190124	0	0	0	0	0	0
1204271190125	0	0	0	0	0	0
1204271190126	0	0	0	0	0	0
1204271190127	0	0	0	0	0	0
1204271190128	0	0	0	0	0	0
1204271190129	0	0	0	0	0	0
1204271190130	0	0	0	0	0	0
1204271190131	0	0	0	0	0	0
1204271190132	0	0	0	0	0	0
1204271190133	0	0	0	0	0	0
1204271191134	0	0	0	0	0	0
1204271191135	0	0	0	0	0	0
12042714101136	0	0	0	0	0	0
12042714100137	0	0	0	0	0	0
12042714100138	0	0	0	0	0	0
12042714100139	0	0	0	0	0	0
12042714100140	0	0	0	0	0	0
12042714101141	0	0	0	0	0	0
12042714100142	0	0	0	0	0	0
12042714100143	0	0	0	0	0	0
12042714100144	0	0	0	0	0	0
12042714100145	0	0	0	0	0	0
12043011110146	0	0	0	0	0	0
12043011110147	0	0	0	0	0	0
12043011110148	0	0	0	0	0	0
12043011110149	0	0	0	0	0	0
12043011110150	0	0	0	0	0	0
12043011110151	0	0	0	0	0	0
12043011110152	0	0	0	0	0	0
12043011111153	0	0	0	0	0	0
12043011111154	0	0	0	0	0	0
12043011110155	0	0	0	0	0	0
12043011121156	0	0	0	0	0	0
12043011120157	0	0	0	0	0	0
12043011120158	0	0	0	0	0	0
12043011120159	0	0	0	0	0	0
12043011120160	0	0	0	0	0	0
12043011120161	0	0	0	0	0	0
12043011120162	0	0	0	0	0	0
12043011120163	0	0	0	0	0	0
12043011121164	0	0	0	0	0	0
12043011120165	0	0	0	0	0	0
12043011120166	0	0	0	0	0	0
12043011121167	0	0	0	0	0	0
12043011120168	0	0	0	0	0	0
12043011120169	0	0	0	0	0	0
12043011120170	0	0	0	0	0	0
12043014130171	0	0	0	0	0	0
12043014130172	0	0	0	0	0	0
12043014130173	0	0	0	0	0	0
12043014131174	0	0	0	0	0	0
12043014130175	0	0	0	0	0	0
12043014130176	0	0	0	0	0	0
12043014131177	0	0	0	0	0	0
12043014130178	0	0	0	0	0	0
12043014130179	0	0	0	0	0	0
12043014130180	0	0	0	0	0	0
12043014131181	0	0	0	0	0	0
12043014130182	0	0	0	0	0	0
